"","nc","delta1","delta2","pow2","pow1","ess"
"96",5,0.16,0.14,0.725053,0.04,97.3508476546008
"97",5,0.16,0.16,0.762756,0.12,97.1701183447474
"98",5,0.16,0.18,0.844218,0.3,95.6192483302368
"99",5,0.16,0.2,0.921017,0.58,94.7712494269788
"100",5,0.18,0,0.999777,1,97.2719873685
"101",5,0.18,0.02,0.999113,1,98.0987540065919
"102",5,0.18,0.04,0.996659,1,97.1823429423253
"103",5,0.18,0.06,0.988509,0.94,97.2969567817704
"104",5,0.18,0.08,0.966035,0.79,96.804048552169
"105",5,0.18,0.1,0.914399,0.58,97.7195746386652
"106",5,0.18,0.12,0.839562,0.32,97.5147422077073
"107",5,0.18,0.14,0.765664,0.09,97.3508476546008
"108",5,0.18,0.16,0.725693,0.04,97.1701183447474
"109",5,0.18,0.18,0.758872,0.13,95.6192483302368
"110",5,0.18,0.2,0.839987,0.28,94.7712494269788
"111",5,0.2,0,0.999957,1,97.2719873685
"112",5,0.2,0.02,0.999787,1,98.0987540065919
"113",5,0.2,0.04,0.999175,1,97.1823429423253
"114",5,0.2,0.06,0.99685,1,97.2969567817704
"115",5,0.2,0.08,0.989107,0.94,96.804048552169
"116",5,0.2,0.1,0.967593,0.79,97.7195746386652
"117",5,0.2,0.12,0.917902,0.6,97.5147422077073
"118",5,0.2,0.14,0.843303,0.33,97.3508476546008
"119",5,0.2,0.16,0.768632,0.09,97.1701183447474
"120",5,0.2,0.18,0.725906,0.04,95.6192483302368
"121",5,0.2,0.2,0.75552,0.12,94.7712494269788
"122",10,0,0,0.798444,0.24,102.112309904202
"123",10,0,0.02,0.871874,0.41,102.380517021117
"124",10,0,0.04,0.935536,0.66,102.075726256055
"125",10,0,0.06,0.973109,0.81,102.239415252242
"126",10,0,0.08,0.990187,0.94,102.454136670376
"127",10,0,0.1,0.996805,1,102.445787644859
"128",10,0,0.12,0.999084,1,102.096719013108
"129",10,0,0.14,0.999763,1,102.111945876748
"130",10,0,0.16,0.999931,1,101.685651714713
"131",10,0,0.18,0.999979,1,102.08918642054
"132",10,0,0.2,0.999994,1,102.074758686755
"133",10,0.02,0,0.747965,0.08,102.112309904202
"134",10,0.02,0.02,0.791583,0.21,102.380517021117
"135",10,0.02,0.04,0.86481,0.4,102.075726256055
"136",10,0.02,0.06,0.930007,0.65,102.239415252242
"137",10,0.02,0.08,0.970095,0.8,102.454136670376
"138",10,0.02,0.1,0.988967,0.94,102.445787644859
"139",10,0.02,0.12,0.996376,1,102.096719013108
"140",10,0.02,0.14,0.998933,1,102.111945876748
"141",10,0.02,0.16,0.999713,1,101.685651714713
"142",10,0.02,0.18,0.999923,1,102.08918642054
"143",10,0.02,0.2,0.999975,1,102.074758686755
"144",10,0.04,0,0.751603,0.07,102.112309904202
"145",10,0.04,0.02,0.744805,0.07,102.380517021117
"146",10,0.04,0.04,0.784769,0.19,102.075726256055
"147",10,0.04,0.06,0.85746,0.36,102.239415252242
"148",10,0.04,0.08,0.923925,0.64,102.454136670376
"149",10,0.04,0.1,0.967061,0.77,102.445787644859
"150",10,0.04,0.12,0.987629,0.92,102.096719013108
"151",10,0.04,0.14,0.995798,1,102.111945876748
"152",10,0.04,0.16,0.998748,1,101.685651714713
"153",10,0.04,0.18,0.999672,1,102.08918642054
"154",10,0.04,0.2,0.999914,1,102.074758686755
"155",10,0.06,0,0.8015,0.22,102.112309904202
"156",10,0.06,0.02,0.755364,0.08,102.380517021117
"157",10,0.06,0.04,0.741419,0.06,102.075726256055
"158",10,0.06,0.06,0.778709,0.18,102.239415252242
"159",10,0.06,0.08,0.84964,0.35,102.454136670376
"160",10,0.06,0.1,0.917635,0.61,102.445787644859
"161",10,0.06,0.12,0.963647,0.76,102.096719013108
"162",10,0.06,0.14,0.986207,0.91,102.111945876748
"163",10,0.06,0.16,0.995256,0.99,101.685651714713
"164",10,0.06,0.18,0.998592,1,102.08918642054
"165",10,0.06,0.2,0.999601,1,102.074758686755
"166",10,0.08,0,0.882761,0.49,102.112309904202
"167",10,0.08,0.02,0.808187,0.26,102.380517021117
"168",10,0.08,0.04,0.758101,0.08,102.075726256055
"169",10,0.08,0.06,0.738719,0.07,102.239415252242
"170",10,0.08,0.08,0.773222,0.17,102.454136670376
"171",10,0.08,0.1,0.841673,0.32,102.445787644859
"172",10,0.08,0.12,0.911009,0.58,102.096719013108
"173",10,0.08,0.14,0.960048,0.75,102.111945876748
"174",10,0.08,0.16,0.984445,0.89,101.685651714713
"175",10,0.08,0.18,0.994639,0.98,102.08918642054
"176",10,0.08,0.2,0.998364,1,102.074758686755
"177",10,0.1,0,0.94993,0.69,102.112309904202
"178",10,0.1,0.02,0.889847,0.51,102.380517021117
"179",10,0.1,0.04,0.815055,0.28,102.075726256055
"180",10,0.1,0.06,0.761048,0.08,102.239415252242
"181",10,0.1,0.08,0.737155,0.06,102.454136670376
"182",10,0.1,0.1,0.768776,0.13,102.445787644859
"183",10,0.1,0.12,0.833383,0.28,102.096719013108
"184",10,0.1,0.14,0.904295,0.56,102.111945876748
"185",10,0.1,0.16,0.955994,0.75,101.685651714713
"186",10,0.1,0.18,0.982562,0.87,102.08918642054
"187",10,0.1,0.2,0.993877,0.98,102.074758686755
"188",10,0.12,0,0.983191,0.9,102.112309904202
"189",10,0.12,0.02,0.95431,0.71,102.380517021117
"190",10,0.12,0.04,0.896796,0.53,102.075726256055
"191",10,0.12,0.06,0.821753,0.3,102.239415252242
"192",10,0.12,0.08,0.764338,0.08,102.454136670376
"193",10,0.12,0.1,0.735331,0.04,102.445787644859
"194",10,0.12,0.12,0.764538,0.12,102.096719013108
"195",10,0.12,0.14,0.824858,0.24,102.111945876748
"196",10,0.12,0.16,0.896896,0.54,101.685651714713
