"nc","delta1","delta2","pow","ess"
20,0.16,0,1,49.999950654992
20,0.16,0.02,0.9,49.9996185145131
20,0.16,0.04,1,49.9932131566754
20,0.16,0.06,1,49.9553762701348
20,0.16,0.08,0.9,49.8267276186742
20,0.16,0.1,1,49.5063161501134
20,0.16,0.12,1,48.8519425272033
20,0.16,0.14,1,47.6937397555049
20,0.16,0.16,1,45.8668292659808
20,0.16,0.18,0.5,43.2622972593626
20,0.16,0.2,0,39.881339087544
