"","tau","pow","ess","mse"
"1",0,1,45.7554846212896,0.000976578898622789
"2",0.02,0.8,45.8038473172491,0.00102594791496282
"3",0.04,1,45.9446382142563,0.0013911076163794
"4",0.06,0.8,46.1652719136132,0.00107500432936752
"5",0.08,1,46.4495572602485,0.000998963624489273
"6",0.1,1,46.7759793486736,0.000912918267816742
"7",0.12,1,47.1233734113317,0.000916218453545039
"8",0.14,1,47.4738768798962,0.000900422260419474
"9",0.16,1,47.8136048326641,0.000923627062951297
"10",0.18,1,48.1288227755129,0.00084161628204987
"11",0.2,1,48.4164723422128,0.000798302774694
"12",0.22,1,48.6701073663081,0.000741149206354493
"13",0.24,1,48.8917546574676,0.000701726060802904
"14",0.26,0.8,49.080354015686,0.000626046994743972
"15",0.28,1,49.2392494918594,0.000505844502636016
"16",0.3,0.8,49.3712807793757,0.00042673660388037
"17",0.32,1,49.4797059831749,0.000547743368522115
"18",0.34,1,49.5678508502823,0.000425191389498852
"19",0.36,1,49.6389404114494,0.000536585585797512
"20",0.38,1,49.695848433588,0.000596597139962098
"21",0.4,1,49.7410891770988,0.000665226981013435
