"nc","delta1","delta2","pow","ess"
30,0,0,0.8,49.9997324372054
30,0,0.02,1,49.999093702372
30,0,0.04,1,49.9795256482886
30,0,0.06,1,49.8688134519841
30,0,0.08,0.9,49.5245294074348
30,0,0.1,0.3,48.7432767179266
30,0,0.12,0,47.2936629048304
30,0,0.14,0.2,44.9805046983799
30,0,0.16,0.4,41.7288382756376
30,0,0.18,0.7,37.6474590080064
30,0,0.2,0.6,33.0234784081251
