"nc","delta1","delta2","pow","ess"
35,0.06,0,1,49.9993280579503
35,0.06,0.02,1,49.999078849296
35,0.06,0.04,0.6,49.9749892191532
35,0.06,0.06,0,49.8352410986019
35,0.06,0.08,0.3,49.4027531137429
35,0.06,0.1,0.9,48.4349149356756
35,0.06,0.12,1,46.6747018938895
35,0.06,0.14,0.9,43.9385677773016
35,0.06,0.16,0.9,40.2146742567945
35,0.06,0.18,0.8,35.7114856144544
35,0.06,0.2,0.8,30.8084621437141
