"nc","delta1","delta2","pow","ess"
15,0.1,0,1,49.9999703849703
15,0.1,0.02,1,49.9999103196186
15,0.1,0.04,1,49.9980783611083
15,0.1,0.06,1,49.9858200801184
15,0.1,0.08,0.7,49.9390424965179
15,0.1,0.1,0,49.8099860782873
15,0.1,0.12,0.3,49.5206740101191
15,0.1,0.14,0.9,48.9603948696501
15,0.1,0.16,1,47.9913300451648
15,0.1,0.18,1,46.4673190262653
15,0.1,0.2,0.7,44.2682474663085
