"","delta1","delta2","pow","ess"
"131",-0.4,-0.6,0,726.03635360136
"132",-0.4,-0.5,0,1071.60929637374
"133",-0.4,-0.4,0,3632.10148076872
"134",-0.4,-0.3,0,6218.09165364884
"135",-0.4,-0.2,0,9441.05854596609
"136",-0.4,-0.1,0,15115.841787036
"137",-0.4,0,0,8817.14662347747
"138",-0.4,0.1,0,5303.13928255385
"139",-0.4,0.2,0,2504.05703101343
"140",-0.4,0.3,0,797.454173968626
"141",-0.4,0.4,0,664.885650840877
"142",-0.4,0.5,0,608.933720120547
"143",-0.4,0.6,0,691.137804977431
"144",-0.4,0.7,0,820.93178951337
"145",-0.4,0.8,0,920.81620306297
"146",-0.4,0.9,0,1108.42960391534
"147",-0.4,1,0,1310.94354829211
"148",-0.3,-1,0,917.284626157734
"149",-0.3,-0.9,0,801.196263017568
"150",-0.3,-0.8,0,685.847049052955
"151",-0.3,-0.7,0,547.82970637908
"152",-0.3,-0.6,0,726.03635360136
"153",-0.3,-0.5,0,1071.60929637374
"154",-0.3,-0.4,0,3632.10148076872
"155",-0.3,-0.3,0,6218.09165364884
"156",-0.3,-0.2,0,9441.05854596609
"157",-0.3,-0.1,0,15115.841787036
"158",-0.3,0,0,8817.14662347747
"159",-0.3,0.1,0,5303.13928255385
"160",-0.3,0.2,0,2504.05703101343
"161",-0.3,0.3,0,797.454173968626
"162",-0.3,0.4,0,664.885650840877
"163",-0.3,0.5,0,608.933720120547
"164",-0.3,0.6,0,691.137804977431
"165",-0.3,0.7,0,820.93178951337
"166",-0.3,0.8,0,920.81620306297
"167",-0.3,0.9,0,1108.42960391534
"168",-0.3,1,0,1310.94354829211
"169",-0.2,-1,0,917.284626157734
"170",-0.2,-0.9,0,801.196263017568
"171",-0.2,-0.8,0,685.847049052955
"172",-0.2,-0.7,0,547.82970637908
"173",-0.2,-0.6,0,726.03635360136
"174",-0.2,-0.5,0,1071.60929637374
"175",-0.2,-0.4,0,3632.10148076872
"176",-0.2,-0.3,0,6218.09165364884
"177",-0.2,-0.2,0,9441.05854596609
"178",-0.2,-0.1,0,15115.841787036
"179",-0.2,0,0,8817.14662347747
"180",-0.2,0.1,0,5303.13928255385
"181",-0.2,0.2,0,2504.05703101343
"182",-0.2,0.3,0,797.454173968626
"183",-0.2,0.4,0,664.885650840877
"184",-0.2,0.5,0,608.933720120547
"185",-0.2,0.6,0,691.137804977431
"186",-0.2,0.7,0,820.93178951337
"187",-0.2,0.8,0,920.81620306297
"188",-0.2,0.9,0,1108.42960391534
"189",-0.2,1,0,1310.94354829211
"190",-0.1,-1,0,917.284626157734
"191",-0.1,-0.9,0,801.196263017568
"192",-0.1,-0.8,0,685.847049052955
"193",-0.1,-0.7,0,547.82970637908
"194",-0.1,-0.6,0,726.03635360136
"195",-0.1,-0.5,0.01,1071.60929637374
"196",-0.1,-0.4,0,3632.10148076872
"197",-0.1,-0.3,0,6218.09165364884
"198",-0.1,-0.2,0,9441.05854596609
"199",-0.1,-0.1,0,15115.841787036
"200",-0.1,0,0,8817.14662347747
"201",-0.1,0.1,0,5303.13928255385
"202",-0.1,0.2,0,2504.05703101343
"203",-0.1,0.3,0,797.454173968626
"204",-0.1,0.4,0,664.885650840877
"205",-0.1,0.5,0,608.933720120547
"206",-0.1,0.6,0,691.137804977431
"207",-0.1,0.7,0,820.93178951337
"208",-0.1,0.8,0,920.81620306297
"209",-0.1,0.9,0,1108.42960391534
"210",-0.1,1,0,1310.94354829211
"211",0,-1,0,917.284626157734
"212",0,-0.9,0,801.196263017568
"213",0,-0.8,0,685.847049052955
"214",0,-0.7,0,547.82970637908
"215",0,-0.6,0,726.03635360136
"216",0,-0.5,0.04,1071.60929637374
"217",0,-0.4,0.42,3632.10148076872
"218",0,-0.3,0,6218.09165364884
"219",0,-0.2,0,9441.05854596609
"220",0,-0.1,0,15115.841787036
"221",0,0,0,8817.14662347747
"222",0,0.1,0,5303.13928255385
"223",0,0.2,0,2504.05703101343
"224",0,0.3,0,797.454173968626
"225",0,0.4,0,664.885650840877
"226",0,0.5,0,608.933720120547
"227",0,0.6,0,691.137804977431
"228",0,0.7,0,820.93178951337
"229",0,0.8,0,920.81620306297
"230",0,0.9,0,1108.42960391534
"231",0,1,0,1310.94354829211
"232",0.1,-1,0,917.284626157734
"233",0.1,-0.9,0,801.196263017568
"234",0.1,-0.8,0,685.847049052955
"235",0.1,-0.7,0,547.82970637908
"236",0.1,-0.6,0,726.03635360136
"237",0.1,-0.5,0.04,1071.60929637374
"238",0.1,-0.4,0.85,3632.10148076872
"239",0.1,-0.3,0.72,6218.09165364884
"240",0.1,-0.2,0.05,9441.05854596609
"241",0.1,-0.1,0,15115.841787036
"242",0.1,0,0,8817.14662347747
"243",0.1,0.1,0,5303.13928255385
"244",0.1,0.2,0,2504.05703101343
"245",0.1,0.3,0,797.454173968626
"246",0.1,0.4,0,664.885650840877
"247",0.1,0.5,0,608.933720120547
"248",0.1,0.6,0,691.137804977431
"249",0.1,0.7,0,820.93178951337
"250",0.1,0.8,0,920.81620306297
"251",0.1,0.9,0,1108.42960391534
"252",0.1,1,0,1310.94354829211
"253",0.2,-1,0.32,917.284626157734
"254",0.2,-0.9,0.37,801.196263017568
"255",0.2,-0.8,0.33,685.847049052955
"256",0.2,-0.7,0.25,547.82970637908
"257",0.2,-0.6,0.28,726.03635360136
"258",0.2,-0.5,0.32,1071.60929637374
"259",0.2,-0.4,0.88,3632.10148076872
"260",0.2,-0.3,1,6218.09165364884
"261",0.2,-0.2,0.88,9441.05854596609
"262",0.2,-0.1,0.15,15115.841787036
"263",0.2,0,0,8817.14662347747
"264",0.2,0.1,0,5303.13928255385
"265",0.2,0.2,0.16,2504.05703101343
"266",0.2,0.3,0.24,797.454173968626
"267",0.2,0.4,0.24,664.885650840877
"268",0.2,0.5,0.28,608.933720120547
"269",0.2,0.6,0.3,691.137804977431
"270",0.2,0.7,0.31,820.93178951337
"271",0.2,0.8,0.31,920.81620306297
"272",0.2,0.9,0.31,1108.42960391534
"273",0.2,1,0.33,1310.94354829211
"274",0.3,-1,0.95,917.284626157734
"275",0.3,-0.9,0.96,801.196263017568
"276",0.3,-0.8,0.96,685.847049052955
"277",0.3,-0.7,0.96,547.82970637908
"278",0.3,-0.6,0.96,726.03635360136
"279",0.3,-0.5,0.97,1071.60929637374
"280",0.3,-0.4,0.99,3632.10148076872
"281",0.3,-0.3,1,6218.09165364884
"282",0.3,-0.2,1,9441.05854596609
"283",0.3,-0.1,0.95,15115.841787036
"284",0.3,0,0.33,8817.14662347747
"285",0.3,0.1,0,5303.13928255385
"286",0.3,0.2,0.42,2504.05703101343
"287",0.3,0.3,0.97,797.454173968626
"288",0.3,0.4,0.95,664.885650840877
"289",0.3,0.5,0.94,608.933720120547
"290",0.3,0.6,0.97,691.137804977431
"291",0.3,0.7,0.96,820.93178951337
"292",0.3,0.8,0.96,920.81620306297
"293",0.3,0.9,0.96,1108.42960391534
"294",0.3,1,0.97,1310.94354829211
"295",0.4,-1,1,917.284626157734
"296",0.4,-0.9,1,801.196263017568
"297",0.4,-0.8,1,685.847049052955
"298",0.4,-0.7,1,547.82970637908
"299",0.4,-0.6,1,726.03635360136
"300",0.4,-0.5,1,1071.60929637374
"301",0.4,-0.4,1,3632.10148076872
"302",0.4,-0.3,1,6218.09165364884
"303",0.4,-0.2,1,9441.05854596609
"304",0.4,-0.1,1,15115.841787036
"305",0.4,0,0.98,8817.14662347747
"306",0.4,0.1,0.7,5303.13928255385
"307",0.4,0.2,0.47,2504.05703101343
"308",0.4,0.3,0.99,797.454173968626
"309",0.4,0.4,1,664.885650840877
"310",0.4,0.5,1,608.933720120547
"311",0.4,0.6,1,691.137804977431
"312",0.4,0.7,1,820.93178951337
"313",0.4,0.8,1,920.81620306297
"314",0.4,0.9,1,1108.42960391534
"315",0.4,1,1,1310.94354829211
"316",0.5,-1,1,917.284626157734
"317",0.5,-0.9,1,801.196263017568
"318",0.5,-0.8,1,685.847049052955
"319",0.5,-0.7,1,547.82970637908
"320",0.5,-0.6,1,726.03635360136
"321",0.5,-0.5,1,1071.60929637374
"322",0.5,-0.4,1,3632.10148076872
"323",0.5,-0.3,1,6218.09165364884
"324",0.5,-0.2,1,9441.05854596609
"325",0.5,-0.1,1,15115.841787036
"326",0.5,0,1,8817.14662347747
"327",0.5,0.1,1,5303.13928255385
"328",0.5,0.2,0.93,2504.05703101343
"329",0.5,0.3,0.99,797.454173968626
"330",0.5,0.4,1,664.885650840877
"331",0.5,0.5,1,608.933720120547
"332",0.5,0.6,1,691.137804977431
