"","nc","delta1","delta2","pow2","pow1","ess"
"43",5,0.06,0.18,0.898237,0.58,4.94380767975695
"44",5,0.06,0.2,0.898427,0.58,4.92517905466615
"45",5,0.08,0,0.924789,0.66,4.91399143928968
"46",5,0.08,0.02,0.924706,0.67,4.93599842184485
"47",5,0.08,0.04,0.924698,0.67,4.94688432642957
"48",5,0.08,0.06,0.924822,0.68,4.91320796509487
"49",5,0.08,0.08,0.924249,0.68,4.94114596519669
"50",5,0.08,0.1,0.924687,0.68,4.91248130952027
"51",5,0.08,0.12,0.924643,0.67,4.96624398298308
"52",5,0.08,0.14,0.92491,0.67,4.92200377431373
"53",5,0.08,0.16,0.924976,0.68,4.93140055070605
"54",5,0.08,0.18,0.924761,0.67,4.94380767975695
"55",5,0.08,0.2,0.924773,0.68,4.92517905466615
"56",5,0.1,0,0.940868,0.75,4.91399143928968
"57",5,0.1,0.02,0.940954,0.75,4.93599842184485
"58",5,0.1,0.04,0.940892,0.75,4.94688432642957
"59",5,0.1,0.06,0.941032,0.75,4.91320796509487
"60",5,0.1,0.08,0.940696,0.75,4.94114596519669
"61",5,0.1,0.1,0.940951,0.75,4.91248130952027
"62",5,0.1,0.12,0.940946,0.75,4.96624398298308
"63",5,0.1,0.14,0.940864,0.75,4.92200377431373
"64",5,0.1,0.16,0.94092,0.75,4.93140055070605
"65",5,0.1,0.18,0.941238,0.75,4.94380767975695
"66",5,0.1,0.2,0.940714,0.75,4.92517905466615
"67",5,0.12,0,0.952223,0.79,4.91399143928968
"68",5,0.12,0.02,0.952272,0.79,4.93599842184485
"69",5,0.12,0.04,0.952114,0.79,4.94688432642957
"70",5,0.12,0.06,0.952103,0.79,4.91320796509487
"71",5,0.12,0.08,0.952131,0.79,4.94114596519669
"72",5,0.12,0.1,0.95222,0.79,4.91248130952027
"73",5,0.12,0.12,0.952244,0.79,4.96624398298308
"74",5,0.12,0.14,0.952083,0.79,4.92200377431373
"75",5,0.12,0.16,0.952048,0.79,4.93140055070605
"76",5,0.12,0.18,0.952179,0.79,4.94380767975695
"77",5,0.12,0.2,0.952069,0.79,4.92517905466615
"78",5,0.14,0,0.960094,0.87,4.91399143928968
"79",5,0.14,0.02,0.960056,0.87,4.93599842184485
"80",5,0.14,0.04,0.960189,0.87,4.94688432642957
"81",5,0.14,0.06,0.959969,0.87,4.91320796509487
"82",5,0.14,0.08,0.959794,0.87,4.94114596519669
