"","nc","delta1","delta2","pow2","pow1","ess"
"82",5,0.14,0.08,0.802345,0.16,102.213608513578
"83",5,0.14,0.1,0.72861,0.03,101.209544882073
"84",5,0.14,0.12,0.694726,0.02,100.930101738698
"85",5,0.14,0.14,0.735209,0.08,100.06328823104
"86",5,0.14,0.16,0.813367,0.16,98.5684427635555
"87",5,0.14,0.18,0.892916,0.4,96.9521706410472
"88",5,0.14,0.2,0.941876,0.66,94.7383995142579
"89",5,0.16,0,0.997637,1,102.254045422854
"90",5,0.16,0.02,0.99238,0.98,102.256834582783
"91",5,0.16,0.04,0.978323,0.83,102.462036632523
"92",5,0.16,0.06,0.94675,0.68,102.363788921963
"93",5,0.16,0.08,0.885782,0.43,102.213608513578
"94",5,0.16,0.1,0.805632,0.18,101.209544882073
"95",5,0.16,0.12,0.731457,0.03,100.930101738698
"96",5,0.16,0.14,0.695234,0.02,100.06328823104
"97",5,0.16,0.16,0.73082,0.07,98.5684427635555
"98",5,0.16,0.18,0.806259,0.16,96.9521706410472
"99",5,0.16,0.2,0.885162,0.37,94.7383995142579
"100",5,0.18,0,0.999405,1,102.254045422854
"101",5,0.18,0.02,0.997812,1,102.256834582783
"102",5,0.18,0.04,0.992762,0.98,102.462036632523
"103",5,0.18,0.06,0.979388,0.85,102.363788921963
"104",5,0.18,0.08,0.948826,0.68,102.213608513578
"105",5,0.18,0.1,0.889277,0.44,101.209544882073
"106",5,0.18,0.12,0.810236,0.21,100.930101738698
"107",5,0.18,0.14,0.734998,0.03,100.06328823104
"108",5,0.18,0.16,0.694359,0.02,98.5684427635555
"109",5,0.18,0.18,0.726,0.06,96.9521706410472
"110",5,0.18,0.2,0.797732,0.13,94.7383995142579
"111",5,0.2,0,0.999833,1,102.254045422854
"112",5,0.2,0.02,0.999449,1,102.256834582783
"113",5,0.2,0.04,0.99794,1,102.462036632523
"114",5,0.2,0.06,0.993243,0.98,102.363788921963
"115",5,0.2,0.08,0.980319,0.85,102.213608513578
"116",5,0.2,0.1,0.950817,0.7,101.209544882073
"117",5,0.2,0.12,0.893542,0.46,100.930101738698
"118",5,0.2,0.14,0.814726,0.21,100.06328823104
"119",5,0.2,0.16,0.737944,0.05,98.5684427635555
