"","delta1","delta2","pow","ess"
"133",-0.4,-0.4,0,172.24821571986
"134",-0.4,-0.3,0,172.24821571986
"135",-0.4,-0.2,0,172.24821571986
"136",-0.4,-0.1,0,172.24821571986
"137",-0.4,0,0,172.24821571986
"138",-0.4,0.1,0,172.24821571986
"139",-0.4,0.2,0,172.24821571986
"140",-0.4,0.3,0,172.24821571986
"141",-0.4,0.4,0,172.24821571986
"142",-0.4,0.5,0,172.24821571986
"143",-0.4,0.6,0,172.24821571986
"144",-0.4,0.7,0,172.24821571986
"145",-0.4,0.8,0,172.24821571986
"146",-0.4,0.9,0,172.24821571986
"147",-0.4,1,0,172.24821571986
"148",-0.3,-1,1,172.24821571986
"149",-0.3,-0.9,0.82,172.24821571986
"150",-0.3,-0.8,0.3,172.24821571986
"151",-0.3,-0.7,0,172.24821571986
"152",-0.3,-0.6,0,172.24821571986
"153",-0.3,-0.5,0,172.24821571986
"154",-0.3,-0.4,0,172.24821571986
"155",-0.3,-0.3,0,172.24821571986
"156",-0.3,-0.2,0,172.24821571986
"157",-0.3,-0.1,0,172.24821571986
"158",-0.3,0,0,172.24821571986
"159",-0.3,0.1,0,172.24821571986
"160",-0.3,0.2,0,172.24821571986
"161",-0.3,0.3,0,172.24821571986
"162",-0.3,0.4,0,172.24821571986
"163",-0.3,0.5,0,172.24821571986
"164",-0.3,0.6,0,172.24821571986
"165",-0.3,0.7,0,172.24821571986
"166",-0.3,0.8,0,172.24821571986
"167",-0.3,0.9,0,172.24821571986
"168",-0.3,1,0,172.24821571986
"169",-0.2,-1,1,172.24821571986
"170",-0.2,-0.9,1,172.24821571986
"171",-0.2,-0.8,0.91,172.24821571986
"172",-0.2,-0.7,0.53,172.24821571986
"173",-0.2,-0.6,0.03,172.24821571986
"174",-0.2,-0.5,0,172.24821571986
"175",-0.2,-0.4,0,172.24821571986
"176",-0.2,-0.3,0,172.24821571986
"177",-0.2,-0.2,0,172.24821571986
"178",-0.2,-0.1,0,172.24821571986
"179",-0.2,0,0,172.24821571986
"180",-0.2,0.1,0,172.24821571986
"181",-0.2,0.2,0,172.24821571986
"182",-0.2,0.3,0,172.24821571986
"183",-0.2,0.4,0,172.24821571986
"184",-0.2,0.5,0,172.24821571986
"185",-0.2,0.6,0,172.24821571986
"186",-0.2,0.7,0,172.24821571986
"187",-0.2,0.8,0,172.24821571986
"188",-0.2,0.9,0,172.24821571986
"189",-0.2,1,0,172.24821571986
"190",-0.1,-1,1,172.24821571986
"191",-0.1,-0.9,1,172.24821571986
"192",-0.1,-0.8,1,172.24821571986
"193",-0.1,-0.7,1,172.24821571986
"194",-0.1,-0.6,0.68,172.24821571986
"195",-0.1,-0.5,0.12,172.24821571986
"196",-0.1,-0.4,0,172.24821571986
"197",-0.1,-0.3,0,172.24821571986
"198",-0.1,-0.2,0,172.24821571986
"199",-0.1,-0.1,0,172.24821571986
"200",-0.1,0,0,172.24821571986
"201",-0.1,0.1,0,172.24821571986
"202",-0.1,0.2,0,172.24821571986
"203",-0.1,0.3,0,172.24821571986
"204",-0.1,0.4,0,172.24821571986
"205",-0.1,0.5,0,172.24821571986
